Date,Description,Amount,Month,Category
2025-03-18,Streaming subscription,43.93,2025-03,Entertainment
2025-03-21,Gas refill,24.76,2025-03,Transportation
2025-03-23,Donation,139.32,2025-03,Other
2025-03-19,Gas refill,55.33,2025-03,Transportation
2025-03-18,Movie ticket,46.78,2025-03,Entertainment
2025-03-21,Books,49.96,2025-03,Shopping
2025-03-05,Books,8.94,2025-03,Shopping
2025-03-20,Coffee at cafe,19.76,2025-03,Food
2025-03-25,Concert,21.5,2025-03,Entertainment
2025-03-03,Movie ticket,51.71,2025-03,Entertainment
2025-03-18,Electronics,26.44,2025-03,Shopping
2025-03-22,Clothes,80.84,2025-03,Shopping
2025-03-26,Books,48.83,2025-03,Shopping
2025-03-02,Grocery shopping,79.09,2025-03,Food
2025-03-28,Clothes,128.67,2025-03,Shopping
2025-03-20,Clothes,38.7,2025-03,Shopping
2025-03-28,Clothes,37.09,2025-03,Shopping
2025-03-28,Uber ride,112.12,2025-03,Transportation
2025-03-29,Books,83.53,2025-03,Entertainment
2025-03-26,Grocery shopping,130.2,2025-03,Food
2025-03-04,Gas refill,71.53,2025-03,Transportation
2025-03-13,Gas refill,10.07,2025-03,Transportation
2025-03-24,Coffee at cafe,14.04,2025-03,Food
2025-03-25,Miscellaneous purchase,115.68,2025-03,Shopping
2025-03-17,Movie ticket,12.16,2025-03,Entertainment
2025-03-31,Grocery shopping,89.82,2025-03,Food
2025-03-17,Miscellaneous purchase,8.94,2025-03,Shopping
2025-03-22,Books,36.32,2025-03,Entertainment
2025-03-18,Electronics,140.2,2025-03,Shopping
2025-03-24,Grocery shopping,83.59,2025-03,Food
2025-03-02,Miscellaneous purchase,123.99,2025-03,Shopping
2025-03-15,Miscellaneous purchase,20.58,2025-03,Shopping
2025-03-23,Coffee at cafe,65.3,2025-03,Food
2025-03-29,Movie ticket,127.83,2025-03,Entertainment
2025-03-03,Streaming subscription,79.95,2025-03,Entertainment
2025-03-07,Gas refill,11.5,2025-03,Transportation
2025-03-17,Gas refill,102.32,2025-03,Transportation
2025-03-03,Donation,15.33,2025-03,Other
2025-03-29,Grocery shopping,141.69,2025-03,Food
2025-03-06,Movie ticket,85.18,2025-03,Entertainment
2025-03-28,Bus ticket,31.2,2025-03,Transportation
2025-03-01,Clothes,141.35,2025-03,Shopping
2025-03-28,Movie ticket,74.95,2025-03,Entertainment
2025-03-23,Electronics,52.59,2025-03,Shopping
2025-03-25,Bus ticket,59.66,2025-03,Transportation
2025-03-02,Coffee at cafe,20.32,2025-03,Food
