Date,Description,Amount,Month,Category
2025-04-01,Walmart groceries,76.59,2025-04,Food
2025-04-10,H&M purchase,141.32,2025-04,Shopping
2025-04-11,Bank fee,43.72,2025-04,Other
2025-04-25,Best Buy headphones,149.61,2025-04,Shopping
2025-04-25,Domino's Pizza,39.72,2025-04,Food
2025-04-05,Subway,40.42,2025-04,Transportation
2025-04-30,Zara clothing,146.46,2025-04,Shopping
2025-04-21,Amazon order,124.9,2025-04,Shopping
2025-04-29,McDonald's,121.03,2025-04,Food
2025-04-10,Amazon order,16.34,2025-04,Shopping
2025-04-21,Starbucks,39.13,2025-04,Food
2025-04-05,H&M purchase,37.16,2025-04,Shopping
2025-04-12,Bank fee,89.58,2025-04,Other
2025-04-28,Starbucks,92.75,2025-04,Food
2025-04-09,Domino's Pizza,9.08,2025-04,Food
2025-04-13,Post office,102.85,2025-04,Transportation
2025-04-09,McDonald's,89.33,2025-04,Food
2025-04-30,Domino's Pizza,99.45,2025-04,Food
2025-04-29,Netflix,90.87,2025-04,Entertainment
2025-04-21,Gift card,14.3,2025-04,Shopping
2025-04-15,Bank fee,133.6,2025-04,Shopping
2025-04-13,Zara clothing,91.84,2025-04,Shopping
2025-04-13,Starbucks,64.31,2025-04,Food
2025-04-13,Gas station,140.79,2025-04,Transportation
2025-04-08,Gift card,82.87,2025-04,Other
2025-04-19,Post office,115.2,2025-04,Transportation
2025-04-13,Netflix,63.13,2025-04,Entertainment
2025-04-14,Post office,31.02,2025-04,Transportation
2025-04-13,Bank fee,77.16,2025-04,Other
2025-04-27,McDonald's,11.72,2025-04,Food
2025-04-12,Bus fare,148.79,2025-04,Transportation
2025-04-24,Lyft,74.12,2025-04,Transportation
2025-04-04,Netflix,23.82,2025-04,Entertainment
2025-04-21,Netflix,89.6,2025-04,Entertainment
2025-04-10,Spotify,72.26,2025-04,Entertainment
2025-04-23,Gas station,101.57,2025-04,Transportation
2025-04-12,Lyft,41.07,2025-04,Transportation
2025-04-12,Gas station,108.08,2025-04,Shopping
2025-04-19,Walmart groceries,46.73,2025-04,Food
2025-04-25,Movie night,19.67,2025-04,Entertainment
2025-04-25,Train ticket,100.96,2025-04,Transportation
2025-04-06,H&M purchase,148.75,2025-04,Shopping
2025-04-19,Concert ticket,141.21,2025-04,Entertainment
2025-04-06,Train ticket,61.82,2025-04,Transportation
2025-04-30,Donation,110.8,2025-04,Other
2025-04-23,McDonald's,22.43,2025-04,Food
2025-04-18,Amazon order,69.85,2025-04,Shopping
2025-04-21,Zara clothing,24.13,2025-04,Shopping
2025-04-17,Subway,69.8,2025-04,Food
2025-04-04,H&M purchase,57.09,2025-04,Shopping
